mlb_id,mlb_name,mlb_pos,bats,throws,birth_date,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,fg_pos,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,yahoo_id,yahoo_name,ottoneu_id,ottoneu_name,ottoneu_pos,rotowire_id,rotowire_name,rotowire_pos,
643329,Brad Goldberg,P,R,R,2/21/1990,103378,goldbbr01,Brad Goldberg,2228433,Brad Goldberg,RP,35830,Brad Goldberg,RP,14776,Brad Goldberg,P,goldbbr01,10721,Brad Goldberg,P,goldb001,Brad Goldberg,10721,Brad Goldberg,23837,Brad Goldberg,RP,14600,Brad Goldberg,P,
543272,Brad Hand,P,L,L,3/20/1990,57938,handbr01,Brad Hand,1795804,Brad Hand,RP,31077,Brad Hand,RP,9111,Brad Hand,P,handbr01,8955,Brad Hand,P,handb001,Brad Hand,8955,Brad Hand,5010,Brad Hand,RP,10507,Brad Hand,P,
641745,Brad Keller,P,R,R,7/27/1995,102632,kellebr01,Brad Keller,2823660,Brad Keller,SP,35292,Brad Keller,SP,15734,Brad Keller,P,kellebr01,10418,Brad Keller,P,kellb003,Brad Keller,10418,Brad Keller,19378,Brad Keller,SP,14516,Brad Keller,P,
453184,Brad Lincoln,P,L,R,5/25/1985,51929,lincobr01,Brad Lincoln,1205580,Brad Lincoln,RP,29953,Brad Lincoln,RP,4241,Brad Lincoln,P,lincobr01,8646,Brad Lincoln,P,lincb001,Brad Lincoln,8646,Brad Lincoln,5650,Brad Lincoln,RP,9273,Brad Lincoln,P,
543543,Brad Miller,2B,L,R,10/18/1989,65980,millebr02,Brad Miller,1953818,Brad Miller,DH,32206,Brad Miller,3B,12775,Brad Miller,SS,millebr02,9446,Brad Miller,2B,millb002,Brad Miller,9446,Brad Miller,18156,Brad Miller,2B/3B/OF,12194,Brad Miller,2B,
502166,Brad Mills,P,R,L,3/5/1985,56121,millsbr02,Brad Mills,1663605,Brad Mills,RP,30201,Brad Mills,RP,4420,Brad Mills,P,millsbr02,8420,Brad Mills,P,millb001,Brad Mills,8420,Brad Mills,17659,Brad Mills,RP,9968,Brad Mills,P,
502748,Brad Peacock,P,R,R,2/2/1988,57086,peacobr01,Brad Peacock,1833104,Brad Peacock,RP,31591,Brad Peacock,SP,5401,Brad Peacock,P,peacobr01,9039,Brad Peacock,P,peacb001,Brad Peacock,9039,Brad Peacock,4603,Brad Peacock,SP/RP,11776,Brad Peacock,P,
430957,Brad Snyder,1B,L,L,5/25/1982,45477,snydebr02,Brad Snyder,479391,Brad Snyder,RF,28865,Brad Snyder,RF,6052,Brad Snyder,1B/OF,snydebr02,8100,Brad Snyder,1B,snydb002,Brad Snyder,8100,Brad Snyder,3391,Brad Snyder,Util,7629,Brad Snyder,OF,
623364,Brad Wieck,P,L,L,10/14/1991,103857,wieckbr01,Brad Wieck,2693486,Brad Wieck,RP,36158,Brad Wieck,RP,16390,Brad Wieck,P,wieckbr01,11164,Brad Wieck,P,wiecb001,Brad Wieck,11164,Brad Wieck,31150,Brad Wieck,RP,15257,Brad Wieck,P,
446899,Brad Ziegler,P,R,R,10/10/1979,49218,zieglbr01,Brad Ziegler,1208774,Brad Ziegler,RP,29147,Brad Ziegler,RP,7293,Brad Ziegler,P,zieglbr01,8262,Brad Ziegler,P,ziegb001,Brad Ziegler,8262,Brad Ziegler,1502,Brad Ziegler,RP,10442,Brad Ziegler,P,
623323,Braden Bishop,CF,R,R,8/22/1993,105591,bishobr01,Braden Bishop,2226603,Braden Bishop,CF,35033,Braden Bishop,CF,17806,Braden Bishop,OF,,11189,Braden Bishop,CF,,,11189,Braden Bishop,31050,Braden Bishop,OF,13903,,,
669699,Braden Shewmake,SS,L,R,11/19/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
640463,Braden Shipley,P,R,R,2/22/1992,102437,shiplbr01,Braden Shipley,2066299,Braden Shipley,SP,33216,Braden Shipley,SP,15158,Braden Shipley,P,shiplbr01,9854,Braden Shipley,P,shipb001,Braden Shipley,9854,Braden Shipley,18260,Braden Shipley,SP/RP,12944,Braden Shipley,P,
